Кандзи,Кана,Перевод,Уровень
未来,みらい,будущее,3
魅力,みりょく,очарование、обаяние、привлекательность,3
,ミルク,молоко,3
無,む,ничто、ничего,3
向かい,むかい,напротив、противоположный,3
迎え,むかえ,встреча、встречающий,3
向く,むく,быть обращенным (на что-то)、поворачиваться、годиться、подходить,3
向ける,むける,поворачивать、посылать、направлять、предназначать,3
無視,むし,игнорирование、не считаться、не обращать внимания,3
虫歯,むしば,испорченный зуб、кариес,3
寧ろ,むしろ,скорее、предпочтительнее、более вероятно,3
結ぶ,むすぶ,связывать、завязывать、соединять、присоединять、заключать (договор),3
無駄,むだ,бесполезность、напрасность、тщетность,3
夢中,むちゅう,не помнить себя、быть как во сне、увлечься、без памяти,3
胸,むね,грудь、сердце、душа,3
無料,むりょう,бесплатный,3
芽,め,росток、всходы、почка、бутон、побег,3
明確,めいかく,ясность、определенность,3
命じる,めいじる,приказывать、распоряжаться、назначать (на должность),3
名人,めいじん,мастер (своего дела),3
命令,めいれい,приказ、распоряжение、указ,3
迷惑,めいわく,беспокойство、неудобство、тягость,3
飯,めし,варенный рис、пища、еда、пропитание,3
滅多に,めったに,почти никогда、редко (с отриц.),3
,メモ,примечание、заметка、сообщение、записная книжка,3
面,めん,лицо、маска、поверхность、сторона、грань、аспект,3
綿,めん,хлопок,3
免許,めんきょ,лицензия、разрешение、свидетельство,3
面倒,めんどう,беспокойство、затруднение,3
,メンバー,участник,3
申し込む,もうしこむ,подавать заявку、заявлять、заказывать,3
申し訳,もうしわけ,извинение、оправдание,3
毛布,もうふ,одеяло,3
燃える,もえる,гореть、пылать,3
目的,もくてき,цель、задача,3
目標,もくひょう,знак、отметка、цель、объект,3
木曜,もくよう,(сокр.) четверг,3
文字,もじ・もんじ,буква、письменный знак、иероглиф、письменность、алфавит,3
,もしも,если、в случае,3
持ち上げる,もちあげる,поднимать、превозносить,3
用いる,もちいる,пользоваться、употреблять、принимать、нанимать,3
最も,もっとも,самый、наиболее,3
尤も,もっとも,правильный、резонный、обоснованный、впрочем,3
元・基・素,もと,начало、исток、основа、корень、материал,3
戻す,もどす,"возвращать、отдавать обратно、класть
на свое место、поворачивать назад、отклонять",3
基づく,もとづく,основываться、базироваться,3
求める,もとめる,требовать、просить、искать、покупать,3
者,もの,человек、некто、тот кто,3
物音,ものおと,шум、звук,3
物語,ものがたり,рассказ、история、повествование、легенда,3
物事,ものごと,дела、вещи、обстоятельства,3
模様,もよう,узор、рисунок、состояние дел、ситуация、признаки,3
貰う,もらう,получать、взять、брать,3
文句,もんく,слова、выражение、фраза、жалобы、недовольство、претензии,3
,やがて,скоро、вскоре、почти,3
役,やく,служба、должность、обязанности、роль,3
約,やく,обещание、сокращение、приблизительно,3
訳,やく,перевод (с иностранного языка),3
役割,やくわり,роль、распределение ролей,3
家賃,やちん,квартирная плата,3
厄介,やっかい,хлопоты、заботы、обременение、помощь、иждивение,3
宿,やど,гостиница、ночлег、дом、квартира,3
雇う,やとう,нанимать、принимать на работу,3
屋根,やね,крыша、кровля,3
,やはり,всё-таки、все ещё、также、тоже,3
破る,やぶる,разбивать、рвать、разрушать、прорывать、взламывать、нарушать,3
辞める,やめる,уходить в отставку、увольняться,3
,やや,до некоторой степени、немного、изрядно,3
唯一,ゆいいつ,единственный、уникальный,3
勇気,ゆうき,мужество、храбрость、смелость、доблесть,3
有効,ゆうこう,действительный、имеющий силу、эффективный,3
優秀,ゆうしゅう,совершенство、превосходство,3
優勝,ゆうしょう,победа (в конкурсе、спорте),3
友情,ゆうじょう,дружба、дружеские чувства,3
友人,ゆうじん,друг,3
有能,ゆうのう,способный、умеющий、знающий、компетентный,3
郵便,ゆうびん,почта,3
夕べ,ゆうべ,вечер、вечером、вчера вечером,3
,ユーモア,юмор,3
有利,ゆうり,выгодный、полезный、благоприятный,3
床,ゆか,пол,3
愉快,ゆかい,приятный、веселый,3
輸出,ゆしゅつ,экспорт、вывоз,3
譲る,ゆずる,"отдавать、передавать、уступать (дорогу;
место、в споре)、идти на компромисс、откладывать",3
豊か,ゆたか,обильный、богатый,3
輸入,ゆにゅう,импорт、ввоз,3
許す,ゆるす,разрешать、позволять、прощать、извинять、освобождать、доверить,3
夜明け,よあけ,рассвет,3
様,よう,такой как、похожий,3
酔う,よう,опьянеть、напиться、страдать от качки、отравиться,3
容易,ようい,легкость、простота,3
陽気,ようき,погода、сезон、оживленность、жизнерадостность,3
要求,ようきゅう,требование、запрос、необходимость,3
用心,ようじん,осторожность、бдительность,3
様子,ようす,положение вещей、обстоятельства、вид、облик、поведение、признак,3
要するに,ようするに,одним словом、короче говоря、по существу,3
要素,ようそ,важный элемент、существенный фактор、неотъемлемая часть,3
要点,ようてん,главный момент、основное содержание、суть,3
曜日,ようび,день недели,3
,ヨーロッパ,Европа,3
予期,よき,ожидания、надежды、предвкушения、предвидение,3
横切る,よこぎる,пересекать、переходить,3
予算,よさん,бюджет、смета,3
止す,よす,прекратить、бросить、отказаться от намерения,3
予測,よそく,предположения、предсказания、прогноз、предварительный расчет,3
,ヨット,яхта,3
夜中,よなか,полночь、поздняя ночь,3
世の中,よのなか,мир、свет、общество、жизнь、времена,3
余分,よぶん,излишек、избыток,3
予報,よほう,прогноз、предсказание,3
予防,よぼう,предупреждение、предотвращение、предохранение、профилактика,3
読み,よみ,чтение,3
嫁,よめ,невеста、молодая жена、невестка、сноха,3
余裕,よゆう,свобода действий、возможности、достаток、излишек、широта взглядов,3
喜び,よろこび,радость、поздравление,3
宜しい,よろしい,хороший、хорошо,3
宜しく,よろしく,хорошо、привет,3
来,らい,следующий、начиная с,3
,ライター,зажигалка、писатель,3
楽,らく,удобство、приятность、легкость,3
,ラケット,ракетка (для наст. тенниса),3
利益,りえき,прибыль、доход、выгода、польза,3
理解,りかい,понимание,3
陸,りく,суша、земля、материк,3
利口,りこう,умный,3
離婚,りこん,развод、расторжение брака,3
理想,りそう,идеал,3
率,りつ,соотношение、процент、коэффициент、индекс、показатель,3
立派,りっぱ,"прекрасный、превосходный;
порядочный、приличный、честный、законный",3
留学,りゅうがく,обучение за границей,3
流行,りゅうこう,мода,3
量,りょう,количество、объем、вес、доза,3
両替,りょうがえ,размен、обмен (валюты),3
料金,りょうきん,плата,3
例,れい,пример、прецедент、обыкновение,3
礼,れい,поклон、приветствие、вежливость、учтивость、церемония、благодарность,3
礼儀,れいぎ,манеры、правила приличия、этикет,3
冷静,れいせい,хладнокровие、спокойствие、сдержанность,3
列,れつ,ряд、шеренга、колонная、очередь,3
列車,れっしゃ,поезд,3
連想,れんそう,ассоциация (идей),3
連続,れんぞく,продолжение、последовательность、непрерывный (в соч.),3
老人,ろうじん,пожилой человек、старик,3
労働,ろうどう,работа、физический труд,3
,ロケット,ракета、медальон、кулон,3
論じる,ろんじる,рассматривать、трактовать、принимать во внимание,3
論争,ろんそう,спор、дискуссия、полемика,3
論文,ろんぶん,статья、сочинение、трактат、диссертация,3
輪,わ,кольцо、круг、колесо、обруч、звено、виток,3
,わがまま,своенравие、эгоизм、каприз、произвол,3
別れ,わかれ,отделение、ответвление、развилка、расставание、разлука,3
脇,わき,бок、боковая сторона、другое、отдельное、подмышка,3
分ける,わける,делить、разъединять、разделять,3
,わざと,нарочно、намеренно、специально,3
僅か,わずか,всего лишь、только、немного,3
綿,わた,вата、хлопок,3
話題,わだい,тема (разговора),3
笑い,わらい,смех,3
割る,わる,делить、разделять、ломать、расщеплять、разбивать、разбавлять (водой),3
悪口,わるくち,брань、злословие,3
我々,われわれ,мы,3
湾,わん,бухта、залив,3
相変わらず,あいかわらず,по-прежнему、по-старому、как всегда,2
,アイディア,идея、замысел、намерение,2
曖昧,あいまい,неясный、туманный、рассеянный、двусмысленный、подозрительный,2
遭う,あう,иметь опыт、сталкиваться с чем-л.,2
扇ぐ,あおぐ,раздуть、обмахнуть、веять,2
青白い,あおじろい,бледный、тусклый (зеленовато-белый),2
明き,あき,пустота、свободное время、вакансия,2
呆れる,あきれる,быть шокированным、чувствовать отвращение,2
,アクセント,акцент、ударение,2
,あくび,зевота、зевок、зевание,2
飽くまで,あくまで,до конца、до крайних пределов、до отвращения,2
明け方,あけがた,рассвет,2
揚げる,あげる,жарить во фритюре,2
挙げる,あげる,поднять、повысить、возвысить、приводить (пример),2
憧れる,あこがれる,жаждать、мечтать、тосковать、обожать,2
足跡,あしあと,следы (ног、лап),2
味わう,あじわう,вкусить、попробовать、пережить、испытать、чувствовать,2
預かる,あずかる,взять на хранение、взять под присмотр,2
暖まる,あたたまる,согреваться、греться,2
暖める,あたためる,нагревать、подогревать、греть,2
当たり前,あたりまえ,нормальный、естественный、должный、разумный,2
,あちらこちら,тут и там、всюду、местами,2
厚かましい,あつかましい,бесстыжий、бессовестный、нахальный、наглый、дерзкий,2
圧縮,あっしゅく,сжатие (в том числе файлов)、конденсирование、прессовка,2
宛名,あてな,адрес、адресат、получатель,2
当てはまる,あてはまる,быть применимым、подходить、соответствовать,2
当てはめる,あてはめる,применять,2
暴れる,あばれる,драться、биться、буянить、скандалить,2
脂,あぶら,жир、масло、смазка,2
,あぶる,обжаривать、жарит、печь、греть,2
溢れる,あふれる,наводняться、переполняться、наполниться、быть переполненным,2
雨戸,あまど,ставня,2
甘やかす,あまやかす,баловать、портить,2
余る,あまる,оставаться、быть в избытке,2
編物,あみもの,вязание、плетение,2
編む,あむ,вязать、плести,2
危うい,あやうい,опасный、рискованный、ненадежный,2
怪しい,あやしい,подозрительный、сомнительный、загадочный,2
荒い・粗い,あらい,грубый、резкий、суровый,2
粗い,あらい,грубый (о поверхности、работе)、крупный (об узоре)、редкий (о сети),2
粗筋,あらすじ,конспект、план、краткое содержание,2
争う,あらそう,спорить、соревноваться、ссориться,2
改めて,あらためて,опять、снова,2
改める,あらためる,менять、исправлять、улучшать,2
著す,あらわす,публиковать、писать,2
有難い,ありがたい,желанный、хороший、добрый、благодарный,2
在る,ある,быть、иметься、находиться,2
,あれこれ,это и то、одно или другое,2
慌ただしい,あわただしい,торопливый、поспешный、взволнованный,2
慌てる,あわてる,суетиться、быть растерянным,2
安易,あんい,легкий、простой、легкомысленный,2
案外,あんがい,неожиданный、непредвиденный,2
,アンテナ,антенна,2
言い出す,いいだす,высказать、предложить、заговорить、начать говорить,2
言い付ける,いいつける,указывать、приказывать,2
意義,いぎ,значимость、значение,2
生き生き,いきいき,живой、оживленный,2
,いきなり,резко、внезапно、неожиданно,2
育児,いくじ,воспитание ребенка,2
幾分,いくぶん,в некоторой степени、некоторая часть,2
生け花,いけばな,икебана、искусство икебаны,2
以後,いご,после этого、в будущем、отныне,2
以降,いこう,после чего-то、со времени чего-то、с тех пор,2
,イコール,равный,2
勇ましい,いさましい,храбрый、доблестный、смелый、мужественный,2
衣食住,いしょくじゅう,первичные потребности (одежда、пища、жилище),2
意地悪,いじわる,злобный、злой、недобрый,2
,いちいち,по одному、один за другим,2
一応,いちおう,один раз、пока、в данное время,2
一段と,いちだんと,ещё больше,2
一流,いちりゅう,первоклассный、первостепенный,2
佚,いつ,удобный、расслабляющий,2
一斉,いっせい,одновременно、все сразу、хором,2
一旦,いったん,однажды、временно、пока что,2
一定,いってい,установленный、регулярный、определенный,2
,いってらっしゃい,Счастливого пути! Удачного дня! Увидимся!,2
,いってまいります,Я пошел! Увидимся позже!,2
,いつのまにか,незаметно、пока никто не знает,2
移転,いてん,перенос、переезд,2
井戸,いど,колодец,2
緯度,いど,географическая широта、параллель,2
威張る,いばる,гордиться、важничать、хвастаться,2
嫌がる,いやがる,не любить、ненавидеть,2
,いよいよ,все больше и больше、в конце концов,2
煎る・炒る,いる,жарить、зажарить,2
入れ物,いれもの,контейнер、резервуар、сосуд,2
,インく,чернила,2
,インタビュー,интервью,2
引力,いんりょく,притяжение、сила тяжести,2
,ウーマン,женщина,2
,ウール,шерсть,2
,ウエートレス,официантка,2
植木,うえき,садовое растение,2
飢える,うえる,голодать、быть голодным、сильно жаждать,2
浮ぶ,うかぶ,всплывать、плыть、держаться на воде、приходить в голову、вспомниться,2
浮かべる,うかべる,спустить на воду、двигать по воде、вспомнить、представлять,2
浮く,うく,выплыть、плыть、быть в хорошем настроении,2
承る,うけたまわる,(скромно.) слышать、знать、получить (совет、информацию),2
受取,うけとり,получение、принятие,2
受け持つ,うけもつ,отвечать、нести ответственность,2
薄暗い,うすぐらい,тусклый、темноватый、сумеречный,2
薄める,うすめる,разбавлять、сделать бледнее (тоньше、светлее),2
打合せ,うちあわせ,договоренность、предварительное соглашение,2
打ち消す,うちけす,отрицать、отвергать、опровергать,2
討つ,うつ,атаковать、нападать、разрушать、уничтожать,2
,うっかり,небрежно、невнимательно、рассеянно、беспечно,2
映す,うつす,проецировать、отражать,2
写る,うつる,фотографировать、снять копию、дублировать、имитировать,2
有無,うむ,присутствие или отсутствие、да или нет、наличие,2
埋める,うめる・うずめる,зарыть、закопать、похоронить、наполнить,2
敬う,うやまう,уважать、почитать、поклоняться,2
裏返す,うらがえす,выворачивать наизнанку、переворачивать、перелицевать,2
裏口,うらぐち,чёрный ход,2
占う,うらなう,гадать、предсказывать,2
恨み,うらみ,обида、горечь、досада、злоба、ненависть вражда,2
恨む,うらむ,притаить злобу、сердиться,2
羨ましい,うらやましい,завидный,2
羨む,うらやむ,завидовать,2
売上,うりあげ,продажи、выручка от продаж,2
売り切れ,うりきれ,распродано,2
売り切れる,うりきれる,быть распроданным,2
売行き,うれゆき,продажи、спрос,2
,うろうろ,паниковать、растеряться、не находить себе места、слоняться、шататься,2
運河,うんが,канал (водный),2
,うんと,упорно、настойчиво、изо всех сил、старательно,2
英文,えいぶん,предложение、произведение на английском языке,2
英和,えいわ,англо-японский (напр.、словарь),2
液体,えきたい,жидкий、жидкость,2
,エチケット,этикет,2
絵の具,えのぐ,краска,2
,エプロン,фартук,2
偉い,えらい,великий、выдающийся、известный、сильный、здорово!,2
宴会,えんかい,вечеринка、банкет,2
園芸,えんげい,садоводство,2
演劇,えんげき,драма、пьеса、представление、театр,2
円周,えんしゅう,окружность、периферия,2
遠足,えんそく,экскурсия、поездка、дальняя прогулка,2
延長,えんちょう,удлинение、расширение、пролонгация、длина,2
煙突,えんとつ,дымовая труба,2
追い掛ける,おいかける,гнаться、преследовать、догонять,2
追い越す,おいこす,перегнать、обогнать、опередить,2
,オイル,масло、нефть、топливо、бензин,2
応援,おうえん,помощь、поддержка、подкрепление,2
王女,おうじょ,принцесса,2
応ずる,おうずる,отвечать、подходить、устраивать,2
応接,おうせつ,прием、получение,2
応対,おうたい,получение、иметь дело с,2
往復,おうふく,туда и обратно (билет、поездка),2
欧米,おうべい,Европа и Америка、Запад,2
応用,おうよう,применение、практическое использование,2
,オーケストラ,оркестр,2
,おおざっぱ,приблизительный、неточный、схематичный,2
大通り,おおどおり,главная улица、широкая дорога、проспект,2
,オートメーション,автоматизация,2
,オーバーコート,пальто、шинель,2
大凡,おおよそ,около、приблизительно、почти,2
お帰り,おかえり,возвращение,2
,おかけください,Садитесь、пожалуйста!,2
,おかげさまで,Спасибо! Благодаря вам! С Божьей помощью,2
,おかず,гарнир、пища для размышлений,2
拝む,おがむ,молиться,2
お代わり,おかわり,добавка、дополнительная порция,2
補う,おぎなう,компенсировать、добавлять、восполнять、наверстать,2
お気の毒に,おきのどくに,Мои соболезнования、Сожалею!,2
屋外,おくがい,на улице、вне дома、на открытом воздухе,2
送り仮名,おくりがな,окончание слова、написанное каной после иероглифа,2
怠る,おこたる,лениться、небрежно относиться,2
押える,おさえる,нажать、схватиться、удержать、надавать、схватить、арестовать、скрутить,2
お先に,おさきに,перед、предыдущий、извините、что ухожу первым,2
納める,おさめる,вносить、платить、снабжать、заканчивать、достигать,2
治める,おさめる,управлять、усмирять、уладить,2
惜しい,おしい,дорогой、ценный、жаль,2
御辞儀,おじぎ,поклон,2
,おしゃれ,стильный、модный、хорошо одетый,2
,おじゃまします,Извините、что отвлекаю,2
教わる,おそわる,учиться、обучиться、брать уроки,2
,おだいじに,Скорейшего выздоровления!,2
落着く,おちつく,успокаиваться、приходить в себя,2
手洗い,てあらい,туалет、умывальник,2
お出掛け,おでかけ,готовность к выходу,2
お手伝いさん,おてつだいさん,домработница,2
脅かす,おびやかす,угрожать、пугать,2
落し物,おとしもの,потерянная вещь,2
大人しい,おとなしい,спокойный、послушный,2
驚かす,おどろかす,удивлять、поражать、ошеломлять、пугать,2
各々,おのおの,каждый、всякий,2
お参り,おまいり,посещение храма、поклонение,2
,おまたせしました,Спасибо за ожидание,2
,おまちください,Пожалуйста、подождите минутку!,2
,おまちどおさま,Извините、что заставил вас ждать,2
,おめでたい,счастливый、радостный,2
思い掛けない,おもいかけない,неожиданный、случайный、непредвиденный,2
思い込む,おもいこむ,быть под впечатлением、твердо верить、полагать,2
思いっ切り,おもいっきり,решительно、вдоволь、изо всех сил,2
思い付く,おもいつく,придумать、затеять、прийти в голову,2
重たい,おもたい,тяжелый、массивный、серьёзный、важный、строгий,2
,おやつ,перекус、полдник,2
親指,おやゆび,большой палец,2
,オルガン,орган (муз. инструмент),2
卸す,おろす,продавать оптом,2
恩恵,おんけい,одолжение、благодеяние、выгода,2
温室,おんしつ,оранжерея、теплица、парник,2
温泉,おんせん,горячий минеральный источник,2
温帯,おんたい,умеренный пояс,2
蚊,か,комар、москит,2
,カーブ,изгиб、искривление、поворот、кривая,2
貝,かい,ракушка、моллюск,2
開会,かいかい,открытие (собрания),2
会館,かいかん,зал、помещение、дом、дворец,2
改札,かいさつ,проверка билетов,2
改札口,かいさつぐち,турникет,2
解散,かいさん,роспуск、распад、расформирование,2
海水浴,かいすいよく,купание в море,2
回数,かいすう,частота、частотность、количество раз,2
回数券,かいすうけん,книга с отрывными билетами,2
改正,かいせい,исправление、изменение、поправка、пересмотр、улучшение,2
快晴,かいせい,хорошая погода,2
解説,かいせつ,пояснение、комментарий、толкование,2
改造,かいぞう,реконструкция,2
開通,かいつう,открытие、запуск、приведение в действие,2
回転,かいてん,вращение、поворот、оборот,2
解答,かいとう,ответ、решение,2
回答,かいとう,ответ、разъяснение,2
外部,がいぶ,внешняя часть、наружная сторона,2
解放,かいほう,освобождение、раскрепощение、эмансипация,2
開放,かいほう,открытие、расчистка,2
海洋,かいよう,океан,2
概論,がいろん,введение、очерк,2
帰す,かえす,отправлять обратно、возвратить домой,2
却って,かえって,наоборот、напротив、скорее,2
代える,かえる,менять、заменят,2
反る,かえる,возвращаться,2
家屋,かおく,дом、здание、строение,2
係わる,かかわる,иметь отношение、касаться、оказать влияние,2
書留,かきとめ,заказная почта,2
書取,かきとり,диктовка、диктант,2
垣根,かきね,забор、изгородь、ограда,2
掻く,かく,чесать,2
嗅ぐ,かぐ,нюхать、чувствовать запах,2
架空,かくう,надземный、подвесной、воздушный、вымышленный、фиктивный,2
各自,かくじ,каждый、индивидуально,2
拡充,かくじゅう,расширение、распространение,2
学術,がくじゅつ,наука、учение,2
各地,かくち,каждое место、разные места,2
拡張,かくちょう,увеличение、расширение、экспансия,2
角度,かくど,мат. угол,2
学年,がくねん,учебный год、класс、курс,2
格別,かくべつ,исключительный、особенный,2
確率,かくりつ,вероятность、шанс,2
学力,がくりょく,научные познания、эрудиция,2
掛け算,かけざん,умножение,2
可決,かけつ,утверждение、одобрение、принятие,2
火口,かこう,кратер,2
下降,かこう,спад、понижение、спуск、снижение,2
重なる,かさなる,"громоздиться、следовать один за
другим、лежать один на другом、совпадать、накладываться",2
重ねる,かさねる,"сложить、положить друг на друга;
нагромоздить、наносить одно поверх другого",2
飾り,かざり,украшение,2
火山,かざん,вулкан,2
,かしこまりました,Будет исполнено!,2
貸し出し,かしだし,ссуда、займ、отдача во временное пользование,2
過失,かしつ,ошибка、дефект、промах、упущение,2
果実,かじつ,фрукт、орех、ягода、плод、прибыть,2
貸間,かしま,комната в аренду,2
貸家,かしや,дом в аренду,2
個所・箇所,かしょ,проход、место、часть、пункт、участок,2
過剰,かじょう,излишек、избыток,2
齧る,かじる,жевать、откусывать、грызть,2
課税,かぜい,налог、пошлина、обложение налогом,2
下線,かせん,подчеркивание、подчеркивающая линия,2
,カセット,кассета、картридж (игровой),2
加速,かそく,ускорение、увеличение скорости、разгон,2
加速度,かそくど,ускорение、акселерация,2
堅い,かたい,твёрдый、крепкий、грубый、тугой,2
片付く,かたづく,быть в порядке、быть решенным、быть улаженным,2
塊,かたまり,глыба、ком、груда、сгусток、толпа,2
固まる,かたまる,затвердеть、окрепнуть、сгуститься、свернуться,2
片道,かたみち,дорога в одну сторону,2
傾く,かたむく,наклониться、перекоситься、перевесить,2
片寄る,かたよる,наклониться、склонить、дать крен、быть расположенным (к чему-то),2
学科,がっか,учебный курс,2
学会,がっかい,научное общество、научное собрание、научная конференция,2
楽器,がっき,музыкальный инструмент,2
学級,がっきゅう,класс、курс,2
担ぐ,かつぐ,"носить на плечах、выдвинуть;
поставить во главе、обманывать、подшучивать",2
括弧,かっこ,скобки,2
活字,かつじ,шрифт、литера,2
活躍,かつやく,активность、деятельность、быть активным、играть активную роль,2
活力,かつりょく,живучесть、живость、энергия、динамичность,2
仮定,かてい,гипотеза、предположение、допущение,2
過程,かてい,процесс、механизм、ход,2
課程,かてい,курс обучения、учебный план、программа,2
仮名,かめい,псевдоним、вымышленное имя、прозвище,2
仮名遣い,かなづかい,написание каной、слоговое написание,2
鐘,かね,колокол,2
加熱,かねつ,нагрев、нагревание,2
兼ねる,かねる,быть неспособным для,2
,カバー,обложка、обертка、чехол、кожух、покрывало,2
過半数,かはんすう,большинство、большая часть,2
被せる,かぶせる,закрыть、покрыть、накрыть,2
釜,かま,котел、кипятильник,2
紙屑,かみくず,макулатура、бумажный мусор、обрывки бумаги,2
神様,かみさま,Бог,2
剃刀,かみそり,бритва,2
,ガム,жевательная резинка,2
貨物,かもつ,груз、багаж、товар,2
痒い,かゆい,зудящий、чешущийся,2
歌謡,かよう,песня、баллада,2
殻,から,шелуха、кожура、скорлупа、раковина,2
,カラー,цвет、цветной、воротник,2
,からかう,подшучивать、подтрунивать、насмехаться、дразнить,2
空っぽ,からっぽ,пустой、незаполненный、полый、свободный,2
,カルタ,карточная игра,2
枯れる,かれる,засохнуть、высохнуть、завять,2
,カロリー,калории,2
可愛がる,かわいがる,любить、баловать,2
乾かす,かわかす,сушить、просушить、высушить,2
渇く,かわく,испытывать жажду、хотеть пить,2
為替,かわせ,денежный перевод、обмен (напр. валюты),2
瓦,かわら,черепица,2
代る,かわる,замещать、заменять、смениться,2
間隔,かんかく,промежуток、интервал、дистанция、расстояние,2
換気,かんき,вентиляция、проветривание,2
感激,かんげき,глубокое впечатление、восторг、восхищение,2
関西,かんさい,Кансай (юго-западная часть Японии),2
鑑賞,かんしょう,чувство вкуса、оценка、наслаждение,2
感ずる,かんずる,чувствовать、ощущать,2
間接,かんせつ,косвенность、косвенный、непрямой,2
乾燥,かんそう,сушка、сухость、высушивание,2
感想,かんそう,впечатление,2
観測,かんそく,наблюдение,2
寒帯,かんたい,полярная зона、арктический пояс,2
官庁,かんちょう,государственное учреждение,2
勘違い,かんちがい,неправильное понимание、ошибочное представление、недоразумение,2
缶詰,かんづめ,консервы、консервирование,2
乾電池,かんでんち,сухая батарейка,2
関東,かんとう,Канто (восточная часть Японии),2
観念,かんねん,идея、понятие、догадка,2
乾杯,かんぱい,выпить за что-то、Кампай! (тост、когда пьют),2
看板,かんばん,вывеска、рекламный щит,2
看病,かんびょう,уход за больным,2
冠,かんむり,корона、венец,2
漢和,かんわ,Китай и Япония、китайско-японский,2
気圧,きあつ,атмосферное давление,2
着替え,きがえ,переодевание、запасная одежда,2
機関車,きかんしゃ,локомотив、двигатель,2
飢饉,ききん,голод、неурожай、недостаток、нехватка,2
器具,きぐ,прибор、инструмент、аппаратура、посуда,2
期限,きげん,период、срок,2
記号,きごう,символ、код、знак、эмблема,2
刻む,きざむ,крошить、раздробить、нашинковать、вырезать、гравировать,2
儀式,ぎしき,церемония、ритуал、торжество,2
基準・規準,きじゅん,стандарт、основа、критерий、норма,2
起床,きしょう,утренний подъем、вставать с кровати,2
着せる,きせる,надеть на кого-то、одеть во что-то、покрыть、наложить、оклеить,2
基礎,きそ,основа、фундамент、базис,2
気体,きたい,газ、газообразное тело,2
基地,きち,база (напр. военная)、оплот,2
切っ掛け,きっかけ,удобный случай、повод、предлог,2
,ぎっしり,плотно、тесно,2
基盤,きばん,основание、базис、фундамент,2
客席,きゃくせき,место для гостей、аудитория,2
客間,きゃくま,гостиная、гостевая комната,2
,ギャング,гангстер、бандит,2
,キャンパス,кампус,2
休業,きゅうぎょう,перерыв、временное прекращение работы、выходной,2
休講,きゅうこう,пропуск лекции,2
休息,きゅうそく,отдых、расслабление,2
給与,きゅうよ,зарплата、содержание、снабжение,2
休養,きゅうよう,отдых,2
清い,きよい,чистый、невинный、неиспорченный、непорочный,2
強化,きょうか,усиление、укрепление,2
境界,きょうかい,граница、рубеж、предел,2
行事,ぎょうじ,обряд、торжество,2
恐縮,きょうしゅく,смущение、быть смущенным、быть благодарным,2
教養,きょうよう,культура、образование,2
行列,ぎょうれつ,линия、процессия,2
漁業,ぎょぎょう,рыболовство、рыбная промышленность,2
曲線,きょくせん,кривая (линия)、дуга,2
規律,きりつ,дисциплина、порядок、регламент,2
斬る,きる,рубить、резать、нарезать、убить (холодным оружием),2
気を付ける,きをつける,быть осторожным、внимательным,2
金魚,きんぎょ,золотая рыбка,2
区域,くいき,район、зона、сфера、область,2
偶数,ぐうすう,четное число,2
空想,くうそう,иллюзия、фантазия、воображение、пустая мечта,2
空中,くうちゅう,небо、воздух,2
,クーラー,кулер、кондиционер,2
釘,くぎ,гвоздь、костыль,2
区切る,くぎる,разграничивать、разделять、определять границы,2
櫛,くし,расческа、гребешок,2
,くしゃみ,чихание、чихать,2
苦情,くじょう,жалоба、недовольство、претензия、возражение,2
苦心,くしん,беспокойство、забота、старание、усилие,2
屑,くず,мусор、отходы、хлам,2
崩す,くずす,развалить、разрушить、разменять деньги,2
薬指,くすりゆび,безымянный палец,2
崩れる,くずれる,разрушаться、разваливаться、быть разрушенным,2
砕く,くだく,ломать、разбивать、раздробить、измельчить,2
砕ける,くだける,ломаться、разбиваться、быть разбитым、выкрошиться,2
,くたびれる,уставать、изнашиваться,2
,くだらない,глупый、тривиальный、бесполезный,2
下る,くだる,спускаться、опускаться、сдаваться,2
唇,くちびる,губы,2
口紅,くちべに,губная помада,2
,くっつく,прицепиться、пристать、прилипнуть、стоять вплотную,2
,くっつける,прикреплять、соединять、связать,2
,くどい,многословный、навязчивый、докучливый、утомительный,2
句読点,くとうてん,знаки препинания,2
配る,くばる,распространять、доставлять、распределять、раздать,2
工夫,くふう,соображение、идея、замысел、выдумка,2
区分,くぶん,деление、дробление、классификация,2
組合せ,くみあわせ,сочетание、подбор、комбинация,2
組み立てる,くみたてる,собирать、составлять、монтировать,2
汲む,くむ,черпать、вычерпывать、выкачать (про воду),2
酌む,くむ,подавать саке,2
悔しい,くやしい,прискорбный、досадный,2
悔やむ,くやむ,раскаяться、сожалеть、соболезновать,2
,クリーニング,чистка、уборка,2
,くるむ,оборачивать、окутать,2
,くれぐれも,снова、убедительно、наилучшие пожелания,2
