Кандзи,Значение,On,Kun,Номер,Level
興,развлечение; возрождать; процветать,コー・キョー,おこる,1071,1
端,конец; край; начало; прямой,タン,はし・はた・は,1072,1
往,движение; минувший,オー,―,1073,1
博,эрудиция; азартная игра,ハク・バク,―,1074,1
縁,узы; связь; родство,エン,ふち,1075,1
附,вариант знака 付,フ,つける,1076,1
敵,враг,テキ,(かたき),1077,1
訳,перевод; причина,ヤク,わけ,1078,1
視,смотреть; зрение,シ,―,1079,1
及,достигать; упоминать,キュー,およぶ,1080,1
隠,прятать,イン,かくす,1081,1
仰,смотреть вверх,ギョー,あおぐ・おおせ,1082,1
魔,демон; волшебство,マ,―,1083,1
句,фраза,ク,―,1084,1
雄,самец; величественный,ユー,おす,1085,1
微,мелкий; микро; тонкий,ビ,―,1086,1
宗,религия; предок,シュー・ソー,―,1087,1
衆,массы; народ,シュー,―,1088,1
尾,хвост,ビ,お,1089,1
眺,смотреть,チョー,ながめる,1090,1
源,исток,ゲン,みなもと,1091,1
鹿,олень,―,しか・(か),1092,1
丁,лист; чётный,テイ・チョー,―,1093,1
佐,старший офицер,サ,―,1094,1
嫌,не любить,ケン,いや・きらう,1095,1
刀,катана,トー,かたな,1096,1
証,свидетельство; документ,ショー,―,1097,1
奇,необыкновенный; странный,キ,―,1098,1
致,навлекать; завлекать,チ,いたす,1099,1
密,секретный; плотный; подобный,ミツ,―,1100,1
響,эхо,キョー,ひびく,1101,1
弁,речь; различать; платить; лепесток; клапан,ベン,―,1102,1
矢,стрела,シ,や,1103,1
隊,отряд,タイ,―,1104,1
街,улица,ガイ,まち,1105,1
是,именно так; политика; правильность,ゼ,―,1106,1
描,рисовать,ビョー,えがく・かく,1107,1
唯,только; единственный,ユイ,―,1108,1
丈,крепкий; здоровый; высота,ジョウ,たけ,1109,3
即,немедленно,ソク,―,1110,1
倉,склад,ソー,くら,1111,1
岡,холм,―,おか,1112,1
勧,советовать; побуждать; поощрять,カン,すすめる,1113,1
養,разводить; выращивать; растить; питание,ヨー,やしなう,1114,1
籠,корзина; сидеть взаперти,ロー,かご・こもる,1115,0
駄,скверный; вьюк,ダ,―,1116,1
護,охранять; защищать,ゴ,―,1117,1
盛,процветать; накладывать,セイ,もる・さかる,1118,1
寸,сун (3.03 см); малый,スン,―,1119,1
踏,ступать,トー,ふむ,1120,1
露,роса; на открытом воздухе; Россия,ロ,つゆ,1121,1
狂,сумасшедший,キョー,くるう,1122,1
織,ткать,ショク,おる,1123,1
郷,родина; деревня,キョー・ゴー,―,1124,1
甲,панцирь; броня,コー,―,1125,1
僧,буддийский монах,ソー,―,1126,1
儀,церемония; манеры,ギ,―,1127,1
樹,деревья,ジュ,―,1128,1
婆,старуха,バ,―,1129,1
津,гавань,シン,つ,1130,1
撃,нападать; стрелять,ゲキ,うつ,1131,1
統,управлять; объединять,トー,すべる,1132,1
玄,непостижимый; неочищенный,ゲン,―,1133,1
騒,шуметь; суетиться,ソー,さわぐ,1134,1
秘,секрет; тайна,ヒ,ひめる,1135,1
傷,рана,ショー,きず・いたむ,1136,1
輩,товарищ,ハイ,―,1137,1
激,яростный,ゲキ,はげしい,1138,1
旦,новый день,タン,―,1139,1
柄,узор; рукоятка; телосложение,ヘイ,がら・え,1140,1
酔,пьяный,スイ,よう,1141,1
銭,деньги; монета,セン,ぜに,1142,1
皇,император,コー,―,1143,1
筋,мускул; смысл; сюжет,キン,すじ,1144,1
隣,соседний,リン,となり・となる,1145,1
鏡,зеркало,キョー,かがみ,1146,1
遣,отправлять; посылать,ケン,つかわす,1147,1
舎,здание,シャ,―,1148,1
霊,дух,レイ,たま,1149,1
呉,давать,ゴ,―,1150,1
瞬,миг; мгновение,シュン,またたく,1151,1
聴,слушать,チョー,きく,1152,1
甚,чрезвычайно,ジン,はなはだ,1153,1
哲,philosophy,,,1154,1
殊,particularly,,,1155,1
就,concerning,,,1156,1
跡,След; пятно; отпечаток,セキ,あと,1157,2
崎,мыс,―,さき,1158,1
尋,разыскивать,ジン,たずねる,1159,1
挙,поднимать,,,1160,1
凡,mediocre,,,1161,1
脱,раздеваться; уклоняться,ダツ,ぬぐ,1162,1
提,propose,,,1163,1
滅,гибнуть; разрушаться; неразумный,メツ,ほろびる,1164,1
芝,turf,,,1165,1
秀,превосходить,シュー,ひいでる,1166,1
随,follow,,,1167,1
屈,yield,,,1168,1
幕,curtain,,,1169,1
既,previously,,,1170,1
俗,vulgar,,,1171,1
奉,observance,,,1172,1
姫,принцесса; девушка,―,ひめ,1173,1
剣,меч,ケン,つるぎ,1174,1
紀,летопись,,,1175,1
握,схватывать; держать,アク,にぎる,1176,1
浪,wandering,,,1177,1
陰,shade,,,1178,1
伏,prostrated,,,1179,1
惑,растерянность; очарование,ワク,まどう,1180,1
穴,дыра,ケツ,あな,1181,1
魂,soul,,,1182,1
忠,loyalty,,,1183,1
迫,наседать,ハク,せまる,1184,1
遺,bequeath,,,1185,1
弾,играть на муз. инструменте; упругость; пуля; снаряд; осуждать,ダン,ひく・はずむ・たま,1186,1
懸,suspend,,,1187,1
懐,pocket,,,1188,1
叔,uncle,,,1189,1
帝,sovereign,,,1190,1
射,стрелять; излучать,シャ,いる,1191,1
染,окрашивать,セン,そめる・しみる,1192,1
麗,восхитительный; прекрасный; изящный,レイ,うるわしい,1193,1
柳,willow,,,1194,1
膝,knee,,,1195,0
華,цветок; великолепие,カ,はな,1196,1
忍,endure,,,1197,1
憶,память,オク,―,1198,1
厳,strict,,,1199,1
納,settlement,,,1200,1
頬,щека,―,ほお,1201,0
伯,chief,,,1202,1
邪,злой; дурной,ジャ,―,1203,1
闇,тьма; чёрный рынок,―,やみ,1204,2
哀,pathetic,,,1205,1
鬼,о́ни,キ,おに,1206,1
寂,loneliness,,,1207,1
梅,абрикос,,,1208,1
称,appellation,,,1209,1
威,intimidate,,,1210,1
聖,holy,,,1211,1
趣,gist,,,1212,1
脚,leg,,,1213,1
充,наполнять; заполнять,ジュー,あてる,1214,1
伴,consort,,,1215,1
堪,withstand,,,1216,1
嬢,lass,,,1217,1
杉,криптомерия,―,すぎ,1218,1
斎,purification,,,1219,1
陣,camp,,,1220,1
慮,prudence,,,1221,1
遂,consummate,,,1222,1
益,benefit,,,1223,1
尽,exhaust,,,1224,1
概,outline,,,1225,1
暫,temporarily,,,1226,1
推,infer,,,1227,1
呂,ванна; звучание,ロ,―,1228,1
汽,пар,キ,―,1229,1
卓,eminent,,,1230,1
拠,foothold,,,1231,1
障,hurt,,,1232,1
吐,тошнить,ト,はく,1233,1
却,instead,,,1234,1
惜,pity,,,1235,1
仙,hermit,,,1236,1
執,tenacious,,,1237,1
模,imitation,,,1238,1
戯,frolic,,,1239,1
繰,winding,,,1240,1
揺,трястись; качаться,ヨー,ゆれる,1241,1
扉,дверь,ヒ,とびら,1242,1
併,join,,,1243,1
浜,seacoast,,,1244,1
竜,дракон,リュー,たつ,1245,1
創,create,,,1246,1
墓,grave,,,1247,1
虚,void,,,1248,1
椅,chair,,,1249,0
功,достижение,,,1250,1
闘,борьба; состязание,トー,たたかう,1251,1
鶴,crane,,,1252,1
瀬,rapids,,,1253,1
亭,pavilion,,,1254,1
侍,waiter,,,1255,1
慢,ridicule,,,1256,1
載,ride,,,1257,1
廊,коридор,ロー,―,1258,1
尚,ещё; почитать,ショー,―,1259,1
飾,decorate,,,1260,1
宜,best regards,,,1261,1
輝,radiance,,,1262,1
襲,атаковать,シュー,おそう,1263,1
賀,congratulations,,,1264,1
勘,intuition,,,1265,1
愚,foolish,,,1266,1
悟,enlightenment,,,1267,1
刑,punish,,,1268,1
帳,книга для записей,チョー,―,1269,1
駆,мчаться; прогонять; ехать верхом,ク,かける,1270,1
袖,sleeve,,,1271,0
俳,actor,,,1272,1
尺,мера длины; сяку,シャク,―,1273,1
裕,обильный,ユー,―,1274,1
揚,hoist,,,1275,1
釈,explanation,,,1276,1
斬,kill by slicing,,,1277,0
烈,ardent,,,1278,1
舌,язык,ゼツ,した,1279,1
熊,bear,,,1280,1
菊,chrysanthemum,,,1281,1
添,annexed,,,1282,1
弥,all the more,,,1283,1
羅,gauze,,,1284,1
唇,губы,シン,くちびる,1285,1
覧,perusal,,,1286,1
誘,entice,,,1287,1
策,scheme,,,1288,1
避,evade,,,1289,1
釣,angling,,,1290,1
兼,одновременно; совмещать,ケン,かねる,1291,1
丹,cinnabar,,,1292,1
鮮,fresh,,,1293,1
摩,chafe,,,1294,1
麻,конопля; паралич,マ,あさ,1295,1
桜,сакура,オー,さくら,1296,1
嫁,marry into,,,1297,1
旗,государственный флаг,,,1298,1
寧,rather,,,1299,1
垂,droop,,,1300,1
扱,handle,,,1301,1
蛇,snake,,,1302,1
抵,resist,,,1303,1
潜,submerge,,,1304,1
獄,prison,,,1305,1
唐,T'ang,,,1306,0
巡,patrol,,,1307,1
澄,lucidity,,,1308,1
免,освобождать; прощать; увольнять,メン,まぬかれる,1309,1
潮,tide,,,1310,1
枕,pillow,,,1311,0
透,transparent,,,1312,1
紫,purple,,,1313,1
阪,Рост; склон,ハン,さか,1314,3
鉢,bowl,,,1315,1
乏,scarce,,,1316,1
癖,mannerism,,,1317,1
序,preface,,,1318,1
奪,rob,,,1319,1
沙,песок,サ・シャ,―,1320,1
眉,eyebrow,,,1321,1
抗,confront,,,1322,1
謝,извиняться; благодарить,シャ,あやまる,1323,1
属,belong,,,1324,1
誠,sincerity,,,1325,1
繁,luxuriant,,,1326,1
遇,interview,,,1327,1
巧,adroit,,,1328,1
尻,ягодицы,―,しり,1329,0
綱,hawser,,,1330,1
幽,seclude,,,1331,1
隆,hump,,,1332,1
愉,pleasure,,,1333,1
壇,podium,,,1334,1
裁,judge,,,1335,1
監,надзор,カン,―,1336,1
奈,what,,,1337,1
討,chastise,,,1338,1
牧,порода,,,1339,1
豆,бобы,トー,まめ,1340,1
乞,beg,,,1341,0
裂,рвать,レツ,さく,1342,1
挨,push open,,,1343,0
拶,be imminent,,,1344,0
砲,cannon,,,1345,1
典,церемония,,,1346,1
琴,кото; музыкальный инструмент,キン,こと,1347,1
系,система; родословная,ケイ,―,1348,1
鈴,small bell,,,1349,1
茂,overgrown,,,1350,1
拭,wipe,,,1351,0
卑,lowly,,,1352,1
臭,stinking,,,1353,1
範,pattern,,,1354,1
垣,hedge,,,1355,1
奮,stirred up,,,1356,1
貫,pierce,,,1357,1
帆,sail,,,1358,1
獣,животное; зверь,ジュー,けもの,1359,1
霧,fog,,,1360,1
閣,tall,,,1361,1
膳,tray,,,1362,0
嘆,sigh,,,1363,1
駒,horse,,,1364,1
唱,мелодия,,,1365,1
崩,crumble,,,1366,1
猿,monkey,,,1367,1
憂,melancholy,,,1368,1
浦,bay,,,1369,1
匠,artisan,,,1370,1
攻,нападать; атаковать; изучать,コー,せめる,1371,1
衝,collide,,,1372,1
匂,scent,,,1373,0
暇,spare time,,,1374,1
宣,proclaim,,,1375,1
堅,strict,,,1376,1
濁,voiced,,,1377,1
曹,cadet,,,1378,1
貞,upright,,,1379,1
徴,indications,,,1380,1
孔,cavity,,,1381,1
躍,leap,,,1382,1
棚,shelf,,,1383,1
締,tighten,,,1384,1
壊,разрушать,カイ,こわす,1385,1
叱,—,,,1386,0
棄,abandon,,,1387,1
豪,overpowering,,,1388,1
艦,военный корабль,カン,―,1389,1
涯,horizon,,,1390,1
縦,vertical,,,1391,1
縮,shrink,,,1392,1
悔,repent,,,1393,1
邸,residence,,,1394,1
凝,congeal,,,1395,1
俊,genius,,,1396,1
滑,slippery,,,1397,1
紋,family crest,,,1398,1
幻,phantasm,,,1399,1
恩,grace,,,1400,1
凄,uncanny,,,1401,0
誇,boast,,,1402,1
淡,thin,,,1403,1
稽,consider,,,1404,0
漸,steadily,,,1405,1
訴,sue,,,1406,1
郡,округ,,,1407,1
徹,penetrate,,,1408,1
翁,venerable old man,,,1409,1
逸,deviate,,,1410,1
唄,songs with samisen,,,1411,1
丘,hill,,,1412,1
猛,fierce,,,1413,1
熟,ripen,,,1414,1
爵,baron,,,1415,1
稿,draft,,,1416,1
笛,свист; флейта,テキ,ふえ,1417,1
焦,char,,,1418,1
裸,naked,,,1419,1
堀,ditch,,,1420,1
孤,orphan,,,1421,1
銃,ружьё,ジュー,―,1422,1
藩,clan,,,1423,1
偵,spy,,,1424,1
呪,проклятие,ジュ,のろう,1425,0
慰,consolation,,,1426,1
敏,cleverness,,,1427,1
葬,interment,,,1428,1
鼓,drum,,,1429,1
恨,rancor,,,1430,1
惨,wretched,,,1431,1
骸,dead remains,,,1432,0
須,by all means,,,1433,1
壮,молодой; энергичный; величественный,ソー,―,1434,1
仁,kindness,,,1435,1
憤,aroused,,,1436,1
荘,villa,,,1437,1
酷,cruel,,,1438,1
僅,a wee bit,,,1439,0
腐,rot,,,1440,1
顧,look back,,,1441,1
寛,tolerant,,,1442,1
稲,rice plant,,,1443,1
隙,fissure,,,1444,0
据,set,,,1445,1
拘,arrest,,,1446,1
継,inherit,,,1447,1
肥,fertilizer,,,1448,1
抑,repress,,,1449,1
彩,coloring,,,1450,1
斜,diagonal,,,1451,1
閑,leisure,,,1452,1
寿,longevity,,,1453,0
煮,boil,,,1454,1
炎,пламя; воспаление,エン,ほのお,1455,1
虎,tiger,,,1456,1
審,examine,,,1457,1
岳,point,,,1458,1
請,solicit,,,1459,1
慈,mercy,,,1460,1
沼,marsh,,,1461,1
賊,burglar,,,1462,1
拙,bungling,,,1463,1
蓋,cover,,,1464,0
孝,сыновний долг,コー,―,1465,1
掌,manipulate,,,1466,1
湧,boil,,,1467,1
窮,hard up,,,1468,1
偽,falsehood,,,1469,1
胆,gall bladder,,,1470,1
悠,неторопливо,ユー,―,1471,1
悦,ecstasy,,,1472,1
鶏,chicken,,,1473,1
桃,peach tree,,,1474,1
歓,delight,,,1475,1
督,coach,,,1476,1
弓,лук (оружие),キュー,ゆみ,1477,1
隔,isolate,,,1478,1
雷,thunder,,,1479,1
鐘,bell,,,1480,1
彫,carve,,,1481,1
揮,brandish,,,1482,1
瓦,tile,,,1483,0
災,disaster,,,1484,1
戒,commandment,,,1485,1
絹,silk,,,1486,1
醜,ugly,,,1487,1
臨,lookover,,,1488,1
劣,inferiority,,,1489,1
陥,collapse,,,1490,1
喉,throat,,,1491,0
喚,кричать; звать,カン,―,1492,1
廃,abolish,ハイ,すた-る・すた-れる,1493,1
拍,clap,,,1494,1
巣,гнездо,,,1495,1
猶,furthermore,,,1496,1
穂,колос,スイ,ほ,1497,1
宛,allocate,,,1498,0
奏,play music,,,1499,1
衰,decline,,,1500,1
網,netting,,,1501,1
妖,волшебный,ヨウ,あやしい,1502,0
睡,drowsy,,,1503,1
襟,collar,,,1504,1
貌,appearance,,,1505,0
盤,tray,,,1506,1
催,sponsor,,,1507,1
紳,sire,,,1508,1
塚,hillock,,,1509,1
緊,tense,,,1510,1
縫,sew,,,1511,1
覆,capsize,,,1512,1
侯,marquis,,,1513,1
裾,cuff,,,1514,0
旨,delicious,,,1515,1
某,so-and-so,,,1516,1
鬱,gloom,,,1517,0
跳,прыгать,チョー,はねる・とぶ,1518,1
詳,detailed,,,1519,1
鎌,sickle,,,1520,1
粋,chic,,,1521,1
飽,sated,,,1522,1
縛,truss,,,1523,1
脇,aside,,,1524,0
顕,appear,,,1525,1
企,plan,,,1526,1
謀,conspire,,,1527,1
蹴,kick,,,1528,0
戴,be crowned with,,,1529,0
誉,reputation,,,1530,1
没,drown,,,1531,1
盾,shield,,,1532,1
粗,coarse,,,1533,1
崖,cliff,,,1534,0
潔,undefiled,,,1535,1
炉,hearth,,,1536,1
遍,everywhere,,,1537,1
羊,овца,ヨー,ひつじ,1538,1
硝,nitrate,,,1539,1
冗,superfluous,,,1540,1
芳,perfume,,,1541,1
敢,daring,,,1542,1
爪,claw,,,1543,0
珠,pearl,,たま,1544,1
亜,суб-; под- (обычно имеет отношение к биологии; химии или географии),ア,―,1545,1
峰,summit,,,1546,1
洞,den,,,1547,1
距,long-distance,,,1548,1
尉,military officer,,,1549,1
縄,straw rope,,,1550,1
脈,вены,,,1551,1
騎,equestrian,,,1552,1
渉,ford,,,1553,1
翼,wing,,,1554,1
瞳,зрачок,ドー,ひとみ,1555,1
矛,алебарда,ム,ほこ,1556,1
滝,waterfall,,,1557,1
慌,волноваться,―,あわてる,1558,0
施,carry out,,,1559,1
冠,crown,,,1560,1
紛,distract,,,1561,1
漂,drift,,,1562,1
瓶,Цветочный горшок; бутылка; кувшин,ビン,かめ,1563,2
鍵,key,,,1564,0
控,withdraw,,,1565,1
窟,cavern,,,1566,0
飼,domesticate,,,1567,1
陳,exhibit,,,1568,1
宵,wee hours,,,1569,1
維,fiber,,,1570,1
沿,run alongside,,,1571,1
抽,pluck,,,1572,1
献,offering,,,1573,1
翻,flip,,,1574,1
墨,black ink,,,1575,1
廷,courts,,,1576,1
忌,mourning,,,1577,1
患,Постичь; испытать,カン,わずら-う,1578,2
蔑,ignore,,,1579,0
餅,mochi rice cake,,,1580,0
亀,turtle,,,1581,1
征,subjugate,,,1582,1
索,cord,,,1583,1
尼,nun,,,1584,1
煩,anxiety,,,1585,1
還,send back,,,1586,1
魅,fascination,,,1587,1
艶,glossy,,,1588,1
泰,peaceful,,,1589,1
朱,vermilion,,,1590,1
盲,blind,,,1591,1
乙,второй; младший,オツ,ー,1592,1
罰,penalty,,,1593,1
巾,тряпка,キン,―,1594,0
傘,umbrella,,,1595,1
辱,embarrass,,,1596,1
扇,fan,,,1597,1
箇,counters for things,,,1598,1
促,stimulate,,,1599,1
頑,stubborn,,,1600,1
艇,rowboat,,,1601,1
痩,get thin,,,1602,0
浄,clean,,,1603,1
剥,—,,,1604,0
芽,бутон,,,1605,1
醒,be disillusioned,,,1606,0
拳,кулак,ケン,こぶし,1607,1
刃,blade,,,1608,1
譲,defer,,,1609,1
且,кроме того,―,かつ,1610,1
峠,mountain peak,,,1611,1
履,footgear,,,1612,1
幹,tree-trunk,,,1613,1
沖,open sea,,,1614,1
渋,astringent,,,1615,1
頓,suddenly,,,1616,0
圏,sphere,,,1617,1
盆,basin,,,1618,1
汁,soup,,,1619,1
誓,vow,,,1620,1
弦,тетива; струна,ゲン,つる,1621,1
獲,seize,,,1622,1
穏,calm,,,1623,1
慶,jubilation,,,1624,1
霜,frost,,,1625,1
鑑,specimen,,,1626,1
疾,rapidly,,,1627,1
痴,stupid,,,1628,1
斉,единообразие; все вместе,セイ,―,1629,1
塀,fence,,,1630,1
鎖,chain,,,1631,1
怨,grudge,,,1632,0
括,fasten,,,1633,1
蜂,bee,,,1634,0
耐,resistant,,,1635,1
汰,luxury,,,1636,1
籍,Зачислять; членство,セキ,ー,1637,2
嘲,ridicule,,,1638,0
頻,repeatedly,,,1639,1
潰,crush,,,1640,0
牲,animal sacrifice,,,1641,1
盟,alliance,,,1642,1
摘,pinch,,,1643,1
倫,ethics,,,1644,1
噴,erupt,,,1645,1
罵,insult,,,1646,0
肝,liver,,,1647,1
冒,risk,,,1648,1
漠,vague,,,1649,1
詮,discussion,,,1650,0
怠,neglect,,,1651,1
啓,disclose,,,1652,1
砕,smash,,,1653,1
胴,trunk,,,1654,1
諦,abandon,,,1655,0
鍋,pot,,,1656,0
漫,cartoon,,,1657,1
柿,persimmon,,,1658,0
股,crotch,,,1659,0
咽,throat,,,1660,0
雅,gracious,,,1661,1
蚊,mosquito,,,1662,1
捉,capture,,,1663,0
浸,immersed,,,1664,1
徐,gradually,,,1665,1
狩,hunt,,,1666,1
鎮,tranquilize,,,1667,1
邦,home country,,,1668,1
挿,insert,,,1669,1
渦,whirlpool,,,1670,1
欄,column,,,1671,1
幣,cash,,,1672,1
携,portable,,,1673,1
楼,watchtower,,,1674,1
憲,constitution,,,1675,1
掲,put up (a notice),,,1676,1
励,encourage,,,1677,1
璃,glassy,,,1678,1
狙,aim at,,,1679,1
詣,visit a temple,,,1680,0
剛,sturdy,,,1681,1
朗,melodious,,,1682,1
陶,pottery,,,1683,1
葛,arrowroot,,,1684,0
診,checkup,,,1685,1
傑,greatness,,,1686,1
脅,threaten,,,1687,1
犠,sacrifice,,,1688,1
厄,unlucky,,,1689,1
宴,banquet,,,1690,1
援,aid,,,1691,1
旋,rotation,,,1692,1
吟,versify,,,1693,1
錯,confused,,,1694,1
宰,superintend,,,1695,1
弄,tamper with,,,1696,0
囚,captured,,,1697,1
崇,adore,,,1698,1
謙,self-effacing,,,1699,1
豚,pork,,,1700,1
塞,obstruct,,,1701,0
晶,sparkle,,,1702,1
銘,inscription,,,1703,1
礎,cornerstone,,,1704,1
架,rack,,,1705,1
粧,cosmetics,,,1706,0
瑠,lapis lazuli,,,1707,1
顎,jaw,,,1708,0
吏,чиновник; должностное лицо,リ,―,1709,1
絞,strangle,,,1710,1
藻,seaweed,,,1711,1
嵐,storm,,,1712,1
愁,distress,,,1713,1
潤,wet,,,1714,1
塊,clod,,,1715,1
岐,branch off,,,1716,1
禅,Zen,,,1717,1
堤,dike,,,1718,1
享,receive,,,1719,1
慕,pining,,,1720,1
痕,mark,,,1721,0
排,repudiate,,,1722,1
撮,snapshot,,,1723,1
臆,timidity,,,1724,0
刈,reap,,,1725,1
欺,deceit,,,1726,1
慎,humility,,,1727,1
妬,jealousy,,,1728,0
嫉,envy,,,1729,0
拒,repel,,,1730,1
殖,augment,,,1731,1
妨,disturb,,,1732,1
酌,bartending,,,1733,1
撲,slap,,,1734,1
暦,calendar,,,1735,1
詠,recitation,,,1736,1
慄,fear,,,1737,0
猟,game-hunting,,,1738,1
緩,slacken,,,1739,1
叙,confer,,,1740,1
稼,earnings,,,1741,1
株,stocks,,,1742,1
侵,encroach,,,1743,1
但,however,,,1744,1
疎,alienate,,,1745,1
溝,gutter,,,1746,1
析,chop,,,1747,1
謡,noh chanting,,,1748,1
堕,degenerate,,,1749,1
侮,scorn,,,1750,1
藍,indigo,,,1751,1
擦,grate,,,1752,1
癒,healing,,,1753,1
貢,tribute,,,1754,1
把,grasp,,,1755,1
恭,respect,,,1756,1
謎,riddle,,,1757,0
蓄,amass,,,1758,1
秩,regularity,,,1759,1
稚,immature,,,1760,1
賭,gamble,,,1761,0
鉛,lead,,,1762,1
僚,colleague,,,1763,1
慨,rue,,,1764,1
泡,bubbles,,,1765,1
滞,stagnate,,,1766,1
鍛,forge,,,1767,1
苛,torment,,,1768,0
懇,sociable,,,1769,1
箸,chopsticks,,,1770,0
契,pledge,,,1771,1
庸,commonplace,,,1772,1
暁,daybreak,,,1773,1
錦,brocade,,,1774,1
伐,fell,,,1775,1
遮,intercept,,,1776,1
穀,cereal,,,1777,1
瞭,clear,,,1778,1
漏,leak,,,1779,1
芋,potato,,,1780,1
薫,fragrant,,,1781,1
酸,acid,,,1782,1
偏,partial,,,1783,1
削,plane,,,1784,1
奔,bustle,,,1785,1
餌,bait,,,1786,0
采,form,,,1787,1
遭,encounter,,,1788,1
釜,kettle,,,1789,0
択,choose,,,1790,1
融,dissolve,,,1791,1
蔽,cover,,,1792,0
羨,envy,,,1793,0
桑,mulberry,,,1794,1
径,диаметр,,,1795,1
雰,atmosphere,,,1796,1
騰,inflation,,,1797,1
刹,temple,,,1798,0
貼,paste,,,1799,0
需,demand,,,1800,1
嗅,smell,,,1801,0
紺,dark blue,,,1802,1
逐,pursue,,,1803,1
斗,ковш; то (18 л),ト,―,1804,1
昧,foolish,,,1805,0
褒,praise,,,1806,1
塾,cram school,,,1807,1
麓,foot of a mountain,,,1808,0
畏,fear,,,1809,0
棟,ridgepole,,,1810,1
牙,tusk,,,1811,0
漬,pickling,,,1812,1
糖,sugar,,,1813,1
妄,delusion,,,1814,1
蛮,barbarian,,,1815,1
糧,provisions,,,1816,1
蜜,honey,,,1817,0
粛,solemn,,,1818,1
朴,crude,,,1819,1
侶,companion,,,1820,0
飢,hungry,,,1821,1
喪,miss,,,1822,1
坪,two-mat area,,,1823,1
升,мера ёмкости,ショー,ます,1824,1
殴,assault,,,1825,1
弧,arc,,,1826,1
虐,tyrannize,,,1827,1
託,consign,,,1828,1
餓,starve,,,1829,1
后,queen,,,1830,1
碑,tombstone,,,1831,1
渓,mountain stream,,,1832,1
唾,saliva,,,1833,0
殻,husk,,,1834,1
俵,straw bag,,,1835,1
項,paragraph,,,1836,1
爽,refreshing,,,1837,1
戚,grieve,,,1838,0
克,overcome,,,1839,1
廉,bargain,,,1840,1
膨,swell,,,1841,1
薪,fuel,,,1842,1
呈,display,,,1843,1
伎,deed,,,1844,1
肺,lung,,,1845,1
禍,calamity,,,1846,1
炊,cook,,,1847,1
腸,кишечник,,,1848,1
棺,coffin,,,1849,1
玩,trifle with,,,1850,0
赦,pardon,,,1851,1
陵,mausoleum,,,1852,1
碁,Go,,,1853,1
憾,remorse,,,1854,1
擁,embrace,,,1855,1
韻,rhyme,,,1856,1
肖,сходство,ショー,―,1857,1
誕,born,,,1858,1
婿,bridegroom,,,1859,1
媒,mediator,,,1860,1
諾,consent,,,1861,1
賜,grant,,,1862,1
扶,aid,,,1863,1
淫,lewdness,,,1864,0
謹,discreet,,,1865,1
隷,slave,,,1866,1
償,reparation,,,1867,1
斑,blemish,,,1868,0
坑,pit,,,1869,1
渇,thirst,,,1870,1
践,tread,,,1871,1
佳,excellent,,,1872,1
錠,lock,,,1873,1
斥,reject,,,1874,1
喝,hoarse,,,1875,1
凶,несчастье; злодей,キョー,―,1876,1
篤,fervent,,,1877,1
髄,marrow,,,1878,1
溺,drown,,,1879,0
胞,placenta,,,1880,1
症,symptoms,,,1881,1
赴,proceed,,,1882,1
諭,rebuke,,,1883,1
旬,10-day period (of the month),,,1884,1
儒,Confucian,,,1885,1
酬,repay,,,1886,1
捻,twist,,,1887,0
梨,pear tree,,,1888,1
苗,seedling,,,1889,1
恒,constancy,,,1890,1
挑,challenge,,,1891,1
畔,paddy-ridge,,,1892,1
憧,desire,,,1893,1
弊,abuse,,,1894,1
柵,fence,,,1895,0
衡,equilibrium,,,1896,1
脊,stature,,,1897,0
貪,covet,,,1898,0
核,nucleus,,,1899,1
班,corps,,,1900,1
隻,только один; счётное слово для судов,セキ,―,1901,2
磁,magnet,,,1902,1
椎,oak,,,1903,1
遷,transition,,,1904,1
朽,decay,,,1905,1
軸,axis,,,1906,1
郭,enclosure,,,1907,1
冶,melting,,,1908,1
拓,clear (the land),,,1909,1
虹,rainbow,,,1910,1
懲,penal,,,1911,1
桟,scaffold,,,1912,1
洪,deluge,,,1913,1
諧,harmony,,,1914,0
摂,vicarious,,,1915,1
寮,dormitory,,,1916,1
訂,revise,,,1917,1
墜,crash,,,1918,1
措,set aside,,,1919,1
羞,feel ashamed,,,1920,0
冥,dark,,,1921,0
披,expose,,,1922,1
胎,womb,,,1923,1
譜,musical score,,,1924,1
凹,concave,,,1925,1
倣,emulate,,,1926,1
雌,feminine,,,1927,1
遜,humble,,,1928,0
陛,majesty,,,1929,1
妥,gentle,,,1930,1
萎,wither,,,1931,0
傲,be proud,,,1932,0
鯨,whale,,,1933,1
剖,divide,,,1934,1
娯,recreation,,,1935,1
棋,chess piece,,,1936,1
擬,mimic,,,1937,1
繕,darning,,,1938,1
妃,queen,,,1939,1
勅,imperial order,,,1940,1
迅,swift,,,1941,1
購,subscription,,,1942,1
錬,tempering,,,1943,1
卸,wholesale,,,1944,1
茎,stalk,,,1945,1
煎,broil,,,1946,0
昆,descendants,,,1947,1
韓,Korea,,,1948,0
嚇,menacing,,,1949,1
峡,gorge,,,1950,1
腫,tumor,,,1951,0
漆,lacquer,,,1952,1
剤,dose,,,1953,1
繊,slender,,,1954,1
寡,widow,,,1955,1
濫,excessive,,,1956,1
庶,commoner,,,1957,1
簿,register,,,1958,1
粘,sticky,,,1959,1
肢,limb,,,1960,1
罷,quit,,,1961,1
惰,lazy,,,1962,1
抄,extract,,,1963,1
閲,review,,,1964,1
